,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total
"Census Tract 24.05, Denver County, Colorado!!Estimate","1,846",08031002405,0.09317443120260022,0.07746478873239436,0.023293607800650054,0.038461538461538464,0.0828819068255688,0.011375947995666305,0.051462621885157094,0.005417118093174431,0.007583965330444204,0.035752979414951244,0.04279523293607801,0.17172264355362946,0.15113759479956662,0.07042253521126761,0.03683640303358613,0.10021668472372698
"Census Tract 26.02, Denver County, Colorado!!Estimate","1,642",08031002602,0.0341047503045067,0.029232643118148598,0.031668696711327646,0.011571254567600487,0.021315468940316686,0.043239951278928136,0.02984165651644336,0.020706455542021926,0.02192448233861145,0.057247259439707675,0.10353227771010962,0.1705237515225335,0.11266747868453106,0.06699147381242387,0.16504263093788063,0.08038976857490865
"Census Tract 26.03, Denver County, Colorado!!Estimate","1,395",08031002603,0.034408602150537634,0.0,0.017921146953405017,0.03512544802867384,0.0,0.060215053763440864,0.015053763440860216,0.005017921146953405,0.02867383512544803,0.0939068100358423,0.0910394265232975,0.1770609318996416,0.11541218637992831,0.05017921146953405,0.13906810035842293,0.13691756272401434
"Census Tract 26.04, Denver County, Colorado!!Estimate","1,255",08031002604,0.20637450199203186,0.11235059760956176,0.055776892430278883,0.06055776892430279,0.02948207171314741,0.04302788844621514,0.016733067729083666,0.04462151394422311,0.016733067729083666,0.15458167330677292,0.11553784860557768,0.0,0.02151394422310757,0.043824701195219126,0.019123505976095617,0.05976095617529881
"Census Tract 27.04, Denver County, Colorado!!Estimate","1,512",08031002704,0.10648148148148148,0.0496031746031746,0.10251322751322751,0.06944444444444445,0.07341269841269842,0.016534391534391533,0.05026455026455026,0.07208994708994709,0.05489417989417989,0.1349206349206349,0.06746031746031746,0.12566137566137567,0.01917989417989418,0.041666666666666664,0.0,0.015873015873015872
"Census Tract 27.05, Denver County, Colorado!!Estimate","1,807",08031002705,0.07083563918096292,0.06862202545655784,0.07083563918096292,0.07802988378527947,0.01992252351964582,0.054233536247924735,0.01936912008854455,0.04703929164360819,0.0,0.11953514111787493,0.1140011068068622,0.12174875484228002,0.03541781959048146,0.09629219701162148,0.054233536247924735,0.029883785279468732
"Census Tract 27.06, Denver County, Colorado!!Estimate","2,083",08031002706,0.04080652904464714,0.025444071051368217,0.025444071051368217,0.04320691310609698,0.02784445511281805,0.037926068170907344,0.0542486797887662,0.09361497839654345,0.009121459433509362,0.06961113778204513,0.1099375900144023,0.16562650024003842,0.06481036965914547,0.07105136821891503,0.11617858857417186,0.04512722035525684
"Census Tract 27.07, Denver County, Colorado!!Estimate","2,016",08031002707,0.03521825396825397,0.013888888888888888,0.010416666666666666,0.027777777777777776,0.03521825396825397,0.06994047619047619,0.005456349206349206,0.03571428571428571,0.020833333333333332,0.07192460317460317,0.11706349206349206,0.1463293650793651,0.10664682539682539,0.07589285714285714,0.11011904761904762,0.11755952380952381
"Census Tract 27.08, Denver County, Colorado!!Estimate","1,766",08031002708,0.09343148357870895,0.04360135900339751,0.04020385050962627,0.07417893544733861,0.08097395243488109,0.09060022650056625,0.019818799546998868,0.026613816534541337,0.03227633069082673,0.08607021517553794,0.09343148357870895,0.10702151755379388,0.0956964892412231,0.030577576443941108,0.04360135900339751,0.04190260475651189
"Census Tract 27.09, Denver County, Colorado!!Estimate","1,702",08031002709,0.01410105757931845,0.01762632197414806,0.04700352526439483,0.045828437132784956,0.04230317273795535,0.038190364277320796,0.008225616921269096,0.08754406580493537,0.05875440658049354,0.19858989424206816,0.24618096357226793,0.06345475910693302,0.011750881316098707,0.06110458284371328,0.05934195064629847,0.0
"Census Tract 28.01, Denver County, Colorado!!Estimate","1,717",08031002801,0.026208503203261502,0.07979033197437391,0.005824111822947,0.0110658124635993,0.06639487478159581,0.0314502038439138,0.03669190448456611,0.0343622597553873,0.0180547466511357,0.0681421083284799,0.12405358182877112,0.1473500291205591,0.09900990099009901,0.0768782760629004,0.08619685497961561,0.0885264997087944
"Census Tract 28.02, Denver County, Colorado!!Estimate","2,624",08031002802,0.07888719512195122,0.054878048780487805,0.042682926829268296,0.022103658536585365,0.028963414634146343,0.018673780487804877,0.03086890243902439,0.09641768292682927,0.040015243902439025,0.10099085365853659,0.15929878048780488,0.10251524390243902,0.10060975609756098,0.014481707317073171,0.06173780487804878,0.046875
"Census Tract 28.04, Denver County, Colorado!!Estimate","1,414",08031002804,0.0049504950495049506,0.03818953323903819,0.031117397454031116,0.014144271570014143,0.04596888260254597,0.009900990099009901,0.057284299858557285,0.03818953323903819,0.06789250353606789,0.11103253182461104,0.11456859971711457,0.15558698727015557,0.13861386138613863,0.0884016973125884,0.06152758132956153,0.02263083451202263
"Census Tract 28.05, Denver County, Colorado!!Estimate","1,646",08031002805,0.04495747266099635,0.01761846901579587,0.009720534629404616,0.01761846901579587,0.05285540704738761,0.031591737545565005,0.06257594167679223,0.030376670716889428,0.05589307411907655,0.08323207776427703,0.0795868772782503,0.14641555285540706,0.11482381530984204,0.10692588092345079,0.07351154313487242,0.07229647630619684
"Census Tract 29.01, Denver County, Colorado!!Estimate","1,749",08031002901,0.02801600914808462,0.025728987993138937,0.018296169239565466,0.03544882790165809,0.037164093767867355,0.04974271012006861,0.017724413950829045,0.053744997141223556,0.025157232704402517,0.11320754716981132,0.09262435677530018,0.115494568324757,0.1452258433390509,0.049170954831332186,0.08404802744425385,0.10920526014865638
"Census Tract 29.02, Denver County, Colorado!!Estimate","1,876",08031002902,0.030383795309168442,0.014392324093816631,0.0026652452025586353,0.020788912579957356,0.007995735607675906,0.05277185501066098,0.026119402985074626,0.03731343283582089,0.0,0.0453091684434968,0.054371002132196165,0.09328358208955224,0.12366737739872068,0.10660980810234541,0.09968017057569296,0.2846481876332623
"Census Tract 30.02, Denver County, Colorado!!Estimate","1,336",08031003002,0.04341317365269461,0.0,0.05089820359281437,0.0029940119760479044,0.0187125748502994,0.029191616766467067,0.0561377245508982,0.04266467065868264,0.01347305389221557,0.07859281437125748,0.08383233532934131,0.07934131736526946,0.08832335329341318,0.06062874251497006,0.25,0.10179640718562874
"Census Tract 30.03, Denver County, Colorado!!Estimate","1,020",08031003003,0.041176470588235294,0.021568627450980392,0.0,0.025490196078431372,0.0784313725490196,0.03823529411764706,0.04215686274509804,0.023529411764705882,0.10490196078431373,0.1,0.056862745098039215,0.10784313725490197,0.04607843137254902,0.13823529411764707,0.09411764705882353,0.08137254901960785
"Census Tract 30.04, Denver County, Colorado!!Estimate","2,381",08031003004,0.023519529609407813,0.013019739605207897,0.034019319613607726,0.017219655606887863,0.06299874002519949,0.06551868962620748,0.04871902561948761,0.02897942041159177,0.013439731205375893,0.02981940361192776,0.07601847963040739,0.04577908441831163,0.1125577488450231,0.0743385132297354,0.1621167576648467,0.19193616127677446
"Census Tract 30.05, Denver County, Colorado!!Estimate","1,222",08031003005,0.04991816693944354,0.009819967266775777,0.0,0.010638297872340425,0.0057283142389525366,0.044189852700491,0.031096563011456628,0.016366612111292964,0.01309328968903437,0.07937806873977087,0.040098199672667756,0.11129296235679215,0.1088379705400982,0.11211129296235679,0.1546644844517185,0.2127659574468085
"Census Tract 30.06, Denver County, Colorado!!Estimate","1,440",08031003006,0.07083333333333333,0.007638888888888889,0.0,0.05,0.009722222222222222,0.019444444444444445,0.0,0.0375,0.03333333333333333,0.05694444444444444,0.0375,0.16527777777777777,0.04722222222222222,0.06736111111111111,0.07152777777777777,0.32569444444444445
"Census Tract 31.01, Denver County, Colorado!!Estimate",691,08031003101,0.07959479015918958,0.056439942112879886,0.017366136034732273,0.04630969609261939,0.03907380607814761,0.05499276410998553,0.04052098408104197,0.011577424023154847,0.0361794500723589,0.07091172214182344,0.027496382054992764,0.11143270622286541,0.06801736613603473,0.06222865412445731,0.11722141823444283,0.16063675832127353
"Census Tract 31.02, Denver County, Colorado!!Estimate","1,938",08031003102,0.15531475748194015,0.07636738906088751,0.033539731682146544,0.03973168214654283,0.03508771929824561,0.058823529411764705,0.017027863777089782,0.04489164086687306,0.03715170278637771,0.03508771929824561,0.07430340557275542,0.07327141382868937,0.06553147574819401,0.038183694530443756,0.11248710010319918,0.10319917440660474
