,census_tract,population_25_and_over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,estimate_total_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_9th_to_12th_grade_no_diploma_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_(includes_equivalency)_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_some_college_no_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_associate's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_or_higher_percentage_total
565,08059012041,3972,137,96,726,992,463,1162,396,3739,1558,0.03449144008056395,0.02416918429003021,0.18277945619335348,0.2497482376636455,0.11656596173212487,0.29254783484390734,0.09969788519637462,0.9413393756294058,0.39224572004028196
566,08059012042,2736,2,49,494,570,330,882,409,2685,1291,0.0007309941520467836,0.017909356725146198,0.18055555555555555,0.20833333333333334,0.1206140350877193,0.3223684210526316,0.14948830409356725,0.981359649122807,0.4718567251461988
567,08059012043,4940,12,52,872,974,292,1872,866,4876,2738,0.0024291497975708503,0.010526315789473684,0.17651821862348177,0.19716599190283401,0.05910931174089069,0.37894736842105264,0.17530364372469637,0.9870445344129555,0.554251012145749
568,08059012044,2539,28,21,389,556,174,893,478,2490,1371,0.011027963765261915,0.008270972823946435,0.15320992516738874,0.21898385191020087,0.06853091768412761,0.3517132729421032,0.18826309570697125,0.9807010634107917,0.5399763686490744
569,08059012045,4124,31,24,800,975,350,1320,624,4069,1944,0.007516973811833172,0.005819592628516004,0.19398642095053345,0.23642095053346265,0.0848690591658584,0.3200775945683802,0.1513094083414161,0.9866634335596508,0.4713870029097963
570,08059012046,1514,30,109,259,406,116,368,226,1375,594,0.019815059445178335,0.07199471598414796,0.17107001321003962,0.26816380449141347,0.07661822985468957,0.2430647291941876,0.14927344782034346,0.9081902245706737,0.39233817701453105
571,08059012047,3156,22,101,586,979,327,682,459,3033,1141,0.00697084917617237,0.03200253485424588,0.18567807351077312,0.31020278833967047,0.10361216730038023,0.21609632446134347,0.14543726235741444,0.9610266159695817,0.3615335868187579
572,08059012048,1574,19,39,241,431,145,468,231,1516,699,0.01207115628970775,0.02477763659466328,0.1531130876747141,0.2738246505717916,0.09212198221092757,0.29733163913595934,0.14675984752223634,0.963151207115629,0.4440914866581957
573,08059012049,2775,0,61,529,618,268,909,390,2714,1299,0.0,0.021981981981981983,0.19063063063063063,0.2227027027027027,0.09657657657657658,0.32756756756756755,0.14054054054054055,0.978018018018018,0.4681081081081081
574,08059012050,3014,17,79,350,496,194,1068,810,2918,1878,0.00564034505640345,0.026211015262110154,0.11612475116124751,0.1645653616456536,0.06436629064366291,0.3543463835434638,0.26874585268745854,0.9681486396814863,0.6230922362309224
