,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 92.03, Adams County, Colorado","3,470",08001009203,0.5440922190201729,0.04927953890489913,0.025360230547550433,0.06945244956772334,0.003170028818443804,0.30864553314121035
"Census Tract 92.04, Adams County, Colorado","5,618",08001009204,0.6427554289782841,0.04093983624065504,0.018333926664293343,0.1228195087219651,0.003737985048059808,0.17141331434674262
"Census Tract 92.06, Adams County, Colorado","2,137",08001009206,0.6513804398689752,0.03883949461862424,0.02526906878802059,0.1375760411792232,0.0,0.14693495554515676
"Census Tract 92.07, Adams County, Colorado","3,442",08001009207,0.6339337594421848,0.020918070889018012,0.029633933759442184,0.04619407321324811,0.0002905287623474724,0.26902963393375945
"Census Tract 93.04, Adams County, Colorado","4,726",08001009304,0.718366483283961,0.039356749894202285,0.026449428692340245,0.04274227676682184,0.0019043588658484976,0.17118070249682607
"Census Tract 93.06, Adams County, Colorado","3,038",08001009306,0.576366030283081,0.015470704410796577,0.017445687952600396,0.04114549045424622,0.0019749835418038184,0.347597103357472
"Census Tract 93.07, Adams County, Colorado","3,037",08001009307,0.5805070793546263,0.016792887718142906,0.02765887388870596,0.02601251234771156,0.006256173855778729,0.3427724728350346
"Census Tract 93.08, Adams County, Colorado","3,462",08001009308,0.5441941074523396,0.019641825534373193,0.03726169844020797,0.015020219526285385,0.0025996533795493936,0.38128249566724437
"Census Tract 93.09, Adams County, Colorado","3,211",08001009309,0.6269075054500156,0.02553721582061663,0.030520087200249145,0.1096231703519153,0.003737153534724385,0.20367486764247897
"Census Tract 93.10, Adams County, Colorado","4,742",08001009310,0.5533530156052299,0.025094896668072544,0.03331927456769296,0.05061155630535639,0.0008435259384226065,0.33677773091522567
"Census Tract 93.16, Adams County, Colorado","6,140",08001009316,0.5157980456026059,0.00765472312703583,0.0245928338762215,0.014006514657980456,0.00016286644951140066,0.43778501628664496
"Census Tract 93.18, Adams County, Colorado","4,958",08001009318,0.5080677692617991,0.045381202097620005,0.029043969342476807,0.0518354175070593,0.0018152480839048004,0.36385639370713996
"Census Tract 93.19, Adams County, Colorado","2,243",08001009319,0.4725813642443156,0.012929112795363353,0.02541239411502452,0.01961658493089612,0.0013374944271065537,0.46812304948729383
"Census Tract 93.20, Adams County, Colorado","2,576",08001009320,0.5520186335403726,0.038431677018633544,0.03804347826086957,0.054736024844720496,0.002717391304347826,0.3140527950310559
"Census Tract 93.21, Adams County, Colorado","3,361",08001009321,0.614102945551919,0.011008628384409401,0.01636417732817614,0.06277893484082119,0.0008925914906277894,0.2948527224040464
