"GEO_ID","NAME","B25024_001E","B25024_001EA","B25024_001M","B25024_001MA","B25024_002E","B25024_002EA","B25024_002M","B25024_002MA","B25024_003E","B25024_003M","B25024_003MA","B25024_003EA","B25024_004E","B25024_004M","B25024_004MA","B25024_004EA","B25024_005E","B25024_005EA","B25024_005M","B25024_005MA","B25024_006E","B25024_006EA","B25024_006M","B25024_006MA","B25024_007E","B25024_007M","B25024_007MA","B25024_007EA","B25024_008E","B25024_008M","B25024_008MA","B25024_008EA","B25024_009E","B25024_009M","B25024_009MA","B25024_009EA","B25024_010E","B25024_010EA","B25024_010M","B25024_010MA","B25024_011E","B25024_011EA","B25024_011M","B25024_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!1, detached","Annotation of Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Annotation of Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Annotation of Margin of Error!!Total:!!1, attached","Annotation of Estimate!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Annotation of Margin of Error!!Total:!!2","Annotation of Estimate!!Total:!!2","Estimate!!Total:!!3 or 4","Annotation of Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Annotation of Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Annotation of Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Annotation of Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Annotation of Margin of Error!!Total:!!10 to 19","Annotation of Estimate!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Annotation of Margin of Error!!Total:!!20 to 49","Annotation of Estimate!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Annotation of Margin of Error!!Total:!!50 or more","Annotation of Estimate!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Annotation of Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Annotation of Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US08059011401","Census Tract 114.01, Jefferson County, Colorado","1186","null","181","null","283","null","79","null","170","69","null","null","36","52","null","null","113","null","98","null","257","null","130","null","96","63","null","null","88","62","null","null","32","52","null","null","111","null","85","null","0","null","13","null",
"1400000US08059011402","Census Tract 114.02, Jefferson County, Colorado","2188","null","208","null","457","null","123","null","240","112","null","null","132","108","null","null","142","null","77","null","239","null","105","null","371","120","null","null","333","140","null","null","274","98","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011551","Census Tract 115.51, Jefferson County, Colorado","2285","null","307","null","622","null","260","null","293","151","null","null","14","23","null","null","241","null","145","null","439","null","232","null","219","134","null","null","287","151","null","null","170","133","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011552","Census Tract 115.52, Jefferson County, Colorado","1133","null","99","null","371","null","116","null","205","98","null","null","83","82","null","null","71","null","62","null","37","null","57","null","116","75","null","null","98","95","null","null","152","87","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011601","Census Tract 116.01, Jefferson County, Colorado","1391","null","134","null","683","null","145","null","224","80","null","null","79","73","null","null","135","null","87","null","145","null","85","null","115","82","null","null","0","13","null","null","0","13","null","null","10","null","14","null","0","null","13","null",
"1400000US08059011602","Census Tract 116.02, Jefferson County, Colorado","1770","null","187","null","1019","null","138","null","243","79","null","null","55","49","null","null","87","null","89","null","87","null","61","null","31","30","null","null","128","67","null","null","120","126","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011701","Census Tract 117.01, Jefferson County, Colorado","2053","null","148","null","1316","null","163","null","360","92","null","null","0","13","null","null","46","null","41","null","101","null","65","null","82","77","null","null","67","41","null","null","81","80","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011702","Census Tract 117.02, Jefferson County, Colorado","2257","null","205","null","1965","null","226","null","80","73","null","null","0","18","null","null","77","null","62","null","42","null","48","null","0","18","null","null","19","32","null","null","74","49","null","null","0","null","18","null","0","null","18","null",
"1400000US08059011708","Census Tract 117.08, Jefferson County, Colorado","1542","null","106","null","1511","null","110","null","31","29","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011709","Census Tract 117.09, Jefferson County, Colorado","1580","null","177","null","752","null","101","null","184","74","null","null","30","48","null","null","0","null","13","null","305","null","165","null","212","107","null","null","74","57","null","null","23","26","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011710","Census Tract 117.10, Jefferson County, Colorado","2115","null","260","null","981","null","153","null","226","125","null","null","86","79","null","null","245","null","188","null","158","null","65","null","257","117","null","null","130","74","null","null","32","33","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011711","Census Tract 117.11, Jefferson County, Colorado","1867","null","200","null","1208","null","195","null","63","64","null","null","35","54","null","null","22","null","29","null","192","null","91","null","229","94","null","null","39","47","null","null","79","53","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011712","Census Tract 117.12, Jefferson County, Colorado","1796","null","186","null","1409","null","197","null","204","62","null","null","11","17","null","null","0","null","13","null","65","null","48","null","86","51","null","null","0","13","null","null","21","24","null","null","0","null","13","null","0","null","13","null",
