,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total,race_total_count,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total,home_own_rent_total,owner_occupied_percentage_total,renter_occupied_percentage_total,less_than_10000_standardized,10000_to_14999_standardized,15000_to_19999_standardized,20000_to_24999_standardized,25000_to_29999_standardized,30000_to_34999_standardized,35000_to_39999_standardized,40000_to_44999_standardized,45000_to_49999_standardized,50000_to_59999_standardized,60000_to_74999_standardized,75000_to_99999_standardized,100000_to_124999_standardized,125000_to_149999_standardized,150000_to_199999_standardized,200000_or_more_standardized,white_alone_standardized,black_or_african_american_alone_standardized,american_indian_and_alaska_native_alone_standardized,asian_alone_standardized,native_hawaiian_and_other_pacific_islander_alone_standardized,some_other_race_alone_standardized,owner_occupied_standardized,renter_occupied_standardized
116,"1,648",8005005620,0.030946602,0.044296117,0.019417476,0.066140777,0.044296117,0.039441748,0.069174757,0.043082524,0.033980583,0.074635922,0.096480583,0.121359223,0.201456311,0.042475728,0.037621359,0.035194175,"2,378",0.920100925,0.012195122,0.005466779,0.020185029,0,0.042052145,"1,627",0.460356484,0.539643516,0.097506357,0.160085965,0.116504854,0.19842233,0.208213147,0.221320899,0.396182701,0.263015279,0.178719496,0.25701241,0.349224194,0.27739251,0.201456311,0.143164094,0.096870456,0.052791262,0.899681591,0.02632033,0.027333894,0.067987233,0,0.082722294,0.469351366,0.530648634
117,"1,099",8005005621,0.018198362,0.028207461,0.038216561,0.006369427,0.030937216,0.017288444,0.006369427,0.040946315,0.027297543,0.010009099,0.061874431,0.113739763,0.094631483,0.109190173,0.059144677,0.337579618,"2,795",0.961717352,0.003220036,0.005724508,0.018246869,0.000357782,0.010733453,"1,147",0.869224063,0.130775937,0.057339284,0.101941638,0.229299363,0.01910828,0.145419859,0.097011269,0.036479444,0.249973896,0.143570322,0.034466817,0.223962665,0.259976602,0.094631483,0.368024583,0.1522904,0.506369427,0.951933683,0.006949697,0.02862254,0.061459121,0.011836892,0.021114163,0.889961534,0.110038466
118,"1,118",8005005622,0.010733453,0.011627907,0.008050089,0.008944544,0.007155635,0.005366726,0.060822898,0,0.027728086,0.013416816,0.056350626,0.13059034,0.094812165,0.071556351,0.067084079,0.425760286,"3,234",0.934137291,0.010822511,0.004638219,0.029375387,0,0.021026592,921,0.75135722,0.24864278,0.033818894,0.042023203,0.048300537,0.026833631,0.033634942,0.030114505,0.348349325,0,0.145834744,0.046201454,0.203968524,0.298492205,0.094812165,0.241180093,0.172733401,0.638640429,0.917305149,0.023357868,0.023191095,0.098942201,0,0.04136217,0.768709581,0.231290419
119,"1,640",8005005623,0.010365854,0.019512195,0,0.014634146,0.017682927,0.009756098,0.023780488,0.030487805,0.025609756,0.070731707,0.107926829,0.148780488,0.109756098,0.109756098,0.094512195,0.206707317,"3,782",0.950819672,0.006874669,0.003701745,0.021152829,0,0.017451084,"1,405",0.919572954,0.080427046,0.032660666,0.070516985,0,0.043902439,0.083118299,0.054744742,0.136197339,0.18612555,0.134693474,0.243568057,0.390655394,0.340069686,0.109756098,0.369932027,0.243357488,0.310060976,0.938250947,0.014837372,0.018508726,0.071246977,0,0.034328658,0.941756434,0.058243566
120,799,8005005624,0.016270338,0.013767209,0.007509387,0,0.007509387,0.007509387,0.021276596,0.013767209,0.013767209,0.04505632,0.03379224,0.110137672,0.182728411,0.12640801,0.181476846,0.21902378,"2,005",0.941147132,0.010473815,0.002992519,0.021446384,0.001995012,0.021945137,797,0.942283563,0.057716437,0.051264477,0.049754631,0.04505632,0,0.035297745,0.042137692,0.121856867,0.084047683,0.072408078,0.155153619,0.122315471,0.25174325,0.182728411,0.426057162,0.467280961,0.32853567,0.926106453,0.02260529,0.014962594,0.072235729,0.066003216,0.043169073,0.965119288,0.034880712
121,"1,624",8005005625,0.034482759,0.007389163,0.011083744,0.012931034,0.03817734,0.009236453,0.006157635,0.027093596,0.083743842,0.070812808,0.06773399,0.147783251,0.157019704,0.101600985,0.123768473,0.100985222,"3,622",0.893981226,0.015461071,0.011043622,0.041689674,0.000552181,0.037272225,"1,188",0.797979798,0.202020202,0.108648057,0.0267044,0.066502463,0.038793103,0.179451941,0.051828843,0.035266458,0.165404183,0.440447344,0.24384733,0.245172112,0.337790289,0.157019704,0.342445288,0.31868887,0.151477833,0.866886635,0.03336912,0.055218112,0.140419196,0.018268422,0.073319542,0.816671149,0.183328851
122,"1,640",8005005626,0.023780488,0.034756098,0.069512195,0.031707317,0.053658537,0.025609756,0.040853659,0.01402439,0.023780488,0.086585366,0.117073171,0.129268293,0.074390244,0.127439024,0.074390244,0.073170732,"3,198",0.897748593,0.018136335,0.01094434,0.037210757,0.000312695,0.03564728,"1,392",0.807471264,0.192528736,0.07492741,0.12560838,0.417073171,0.095121951,0.252221044,0.143704947,0.233980044,0.085617753,0.125072512,0.298160897,0.423761784,0.295470383,0.074390244,0.429532187,0.191545894,0.109756098,0.871616806,0.039143054,0.054721701,0.125333302,0.010345251,0.070123052,0.826435209,0.173564791
123,"1,754",8005005627,0.029076397,0.009122007,0.014253136,0.005701254,0.041619156,0.02622577,0.022234892,0.03990878,0.031356899,0.024515393,0.070125428,0.125427594,0.123717218,0.080387685,0.149942987,0.206385405,"4,308",0.96007428,0.007892293,0.001624884,0.019730734,0,0.010677809,"1,763",0.910947249,0.089052751,0.091613726,0.032966892,0.085518814,0.017103763,0.19563014,0.147161606,0.127345289,0.24363983,0.164920337,0.084419943,0.253828235,0.286691644,0.123717218,0.270946034,0.386085084,0.309578107,0.9498707,0.017033677,0.00812442,0.066457073,0,0.021004704,0.932883001,0.067116999
124,"2,276",8005005628,0.005272408,0.006151142,0.00659051,0.028998243,0.010984183,0.050527241,0.025043937,0.058435852,0.012741652,0.043497364,0.065465729,0.138400703,0.131810193,0.16344464,0.133128295,0.119507909,"5,339",0.915339951,0.011987264,0.005244428,0.032777674,0.000936505,0.033714179,"2,197",0.772872098,0.227127902,0.016612269,0.022230201,0.039543058,0.086994728,0.051630965,0.283525327,0.143433456,0.356746089,0.067014202,0.149785277,0.236961842,0.316344464,0.131810193,0.550888818,0.342789282,0.179261863,0.893703884,0.025871716,0.026222139,0.110401788,0.030983435,0.06632038,0.790842362,0.209157638
125,894,8005005629,0.014541387,0.013422819,0.017897092,0.01901566,0.027964206,0.011185682,0.015659955,0.025727069,0.005592841,0.067114094,0.020134228,0.096196868,0.052572707,0.068232662,0.098434004,0.446308725,"2,167",0.949700046,0.005999077,0,0.03461006,0.000461467,0.009229349,798,0.976190476,0.023809524,0.04581691,0.048510007,0.10738255,0.05704698,0.131445277,0.062766622,0.089688835,0.15706165,0.029415321,0.23111063,0.072878495,0.219878555,0.052572707,0.229977629,0.253455673,0.669463087,0.936845185,0.01294761,0,0.116573633,0.015267241,0.018155387,1,0
