census_tract,less_than_10000_standardized,10000_to_14999_standardized,15000_to_19999_standardized,20000_to_24999_standardized,25000_to_29999_standardized,30000_to_34999_standardized,35000_to_39999_standardized,40000_to_44999_standardized,45000_to_49999_standardized,50000_to_59999_standardized,60000_to_74999_standardized,75000_to_99999_standardized,100000_to_124999_standardized,125000_to_149999_standardized,150000_to_199999_standardized,200000_or_more_standardized,white_alone_standardized,black_or_african_american_alone_standardized,american_indian_and_alaska_native_alone_standardized,asian_alone_standardized,native_hawaiian_and_other_pacific_islander_alone_standardized,some_other_race_alone_standardized,owner_occupied_standardized,renter_occupied_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_9th_to_12th_grade_no_diploma_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_(includes_equivalency)_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_some_college_no_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_associate's_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_or_higher_standardized,estimate_total_total_population_selected_age_categories_5_to_14_years_standardized,estimate_total_total_population_selected_age_categories_15_to_17_years_standardized,estimate_total_total_population_selected_age_categories_under_18_years_standardized,estimate_total_total_population_selected_age_categories_18_to_24_years_standardized,estimate_total_total_population_selected_age_categories_15_to_44_years_standardized,estimate_total_total_population_selected_age_categories_16_years_and_over_standardized,estimate_total_total_population_selected_age_categories_18_years_and_over_standardized,estimate_total_total_population_selected_age_categories_21_years_and_over_standardized,estimate_total_total_population_selected_age_categories_60_years_and_over_standardized,estimate_total_total_population_selected_age_categories_62_years_and_over_standardized,estimate_total_total_population_selected_age_categories_65_years_and_over_standardized,estimate_total_total_population_selected_age_categories_75_years_and_over_standardized,estimate_total_1_detached_standardized,estimate_total_1_attached_standardized,estimate_total_2_standardized,estimate_total_3_or_4_standardized,estimate_total_5_to_9_standardized,estimate_total_10_to_19_standardized,estimate_total_20_to_49_standardized,estimate_total_50_or_more_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_hearing_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_vision_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_cognitive_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_an_ambulatory_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_self-care_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_an_independent_living_difficulty_standardized
08031001800,0.3561277773056476,0.445030972910621,0.414039262343843,0.12314098750743606,0.050332359103018386,0.49403791361899,0.06814125790925316,0.05447577066734282,0.0406739874913581,0.3298104047130165,0.27777068134290506,0.281465114302711,0.09994051160023795,0.07619196223949445,0.13632614587015435,0.08298631766805474,0.6702115996053065,0.15152346178397946,0.13447432762836184,0.13176335791961208,0.02311149992981677,0.2473520831591013,0.29122520061864055,0.7087747993813595,0.12674327432219157,0.25774356210669097,0.4231835657957511,0.3523929554575304,0.2833363735862824,0.42681798218023465,0.19841219485113337,0.7460922007181472,0.41937267487781116,0.13105536332179932,0.0750683252024214,0.14512397551613238,0.10591556507329157,0.6167466986794717,0.8523671440407149,0.8548760244838677,0.8703808300930055,0.21399700609369582,0.19515074752367906,0.13864977515554025,0.04761841445438935,0.22550467749876907,0.10930576070901034,0.10393126488280753,0.20124064897317384,0.1600020359532728,0.04821799871771711,0.03713017701705568,0.5042975285117821,0.2451485748938751,0.3004705736664499,0.49753046004461443,0.4240532708600415,0.1484232868405094,0.2829182886989182
08031001901,0.5386765858394451,0.17044636039863528,0.48194546794399407,0.12380250552689756,0.13855513903573882,0.4383210165314653,0.13505727875661555,0.08097901591021661,0.19766575713517498,0.10150474243468753,0.9229127767404641,0.02695020528476682,0.058953574060427415,0.08693236043828599,0.10056639575078587,0.08732498157700812,0.46492838661835234,0.3948366730994404,0.15220012055455093,0.1268912310435535,0.08973990637305436,0.3391205177619868,0.26563494576641494,0.734365054233585,0.2181614580467017,0.3484991976192744,0.3788414342983421,0.6643962360722863,0.27406043982484,0.15868642797047278,0.2490412437782841,0.6238935400304461,0.24073790994292485,0.4223102886601401,0.1785096057482644,0.4101324085528101,0.11903341804184311,0.49671709962888955,0.5946404088246292,0.5898675914471898,0.6739168458589417,0.13798387292607905,0.11763988324670736,0.11611309907122798,0.09690789449910926,0.24615384615384617,0.11384615384615385,0.28667165060003935,0.29590570719602977,0.04131775397598183,0.4218555617044826,0.04803532503942526,0.2404479882011338,0.17235226948330004,0.09984234877183779,0.2922905524720909,0.16724798939206134,0.042344656960700354,0.21979484698076138
08031002000,0.17211919043538582,0.1695512020751246,0.10025706940874035,0.050128534704370176,0.33229636252996037,0.05048759926313708,0.05521149801355457,0.164785705255173,0.033801153338428404,0.16819388008955966,0.20005677606573408,0.2467866323907455,0.10604113110539845,0.3270850014749884,0.44514300262036927,0.23136246786632392,0.751426376352602,0.2435085728106594,0.058541777541245336,0.13444122552501664,0.03521459515650102,0.06386125873566752,0.2610749608337668,0.7389250391662332,0.008861037765704306,0.0,0.2929321807765184,0.2832213697976706,0.3647366758975854,0.4684102294888377,0.5352623207416842,0.993789553395576,0.6303086539582609,0.004734005155847199,0.0,0.03964290984211303,0.07433091840132267,0.6426294820717131,0.9547735817294204,0.960357090157887,0.9661505264870924,0.17754930884068587,0.13906488583112483,0.10303145728884633,0.02058096727015987,0.013888888888888888,0.05853174603174603,0.0,0.0,0.07060499129328243,0.06097934152677858,0.13912571862457968,0.7990283840718233,0.16105577689243028,0.3019070863692378,0.33209345508820176,0.2654145632453898,0.050232403718459495,0.22616279749039034
08031002101,0.2546778845062107,0.0,0.17596566523605153,0.10300429184549356,0.12104248305032032,0.11640110510677487,0.06554818571985954,0.2096109195806656,0.0,0.1674973464396142,0.29775226660347387,0.20600858369098712,0.10658082975679542,0.3134219845681184,0.40888640086251576,0.2757510729613734,0.7704483134916691,0.07268774938955393,0.09992598075499629,0.08725908903678974,0.06122152507315453,0.19948012774401155,0.6965602143109583,0.30343978568904173,0.144146894239626,0.17911235576147677,0.21582075168647608,0.22778378062669744,0.1308989482576055,0.5376765587770891,0.4552274938663017,0.7842554518742095,0.6408650972830349,0.03333280947965614,0.051637847773613264,0.06342835845017696,0.14833452800655364,0.5741383916644403,0.9329588000888043,0.9365716415498231,0.8890273442347045,0.23446039558698514,0.19305934955235088,0.13248100444976474,0.11632515717102303,0.29533372711163614,0.25457767277023036,0.550314745688203,0.21869581578796943,0.1253199448710376,0.02215321658798183,0.04376159638979746,0.16986166207238984,0.3169917178733636,0.060068885342729854,0.05961964792489737,0.13885202432162186,0.017833288805770772,0.22313401438305563
08031002102,0.15835174275895925,0.17231679504782293,0.06958762886597938,0.03479381443298969,0.04240126500323721,0.19162423306481904,0.2989104967197751,0.0,0.2541620228475899,0.5214135766544729,0.5457434697362595,0.24447717231222385,0.09213917525773196,0.2584333276998479,0.21733838836595448,0.10921391752577321,0.7942861107136509,0.1303190891516432,0.05649717514124294,0.12488032763633786,0.02336448598130841,0.10696997427123948,0.6965602143109583,0.30343978568904173,0.15415870368439952,0.03852136016075576,0.1300145137880987,0.274442538593482,0.2934680487615498,0.5544810336327568,0.4920183514112964,0.8672828118626216,0.6733033000807293,0.07616892911010557,0.07564865334862643,0.14901446940828095,0.15795425528034146,0.6494644595910418,0.8409863269196484,0.8509855305917191,0.8927593404699439,0.1420480172669684,0.11821781073997657,0.08719637264431691,0.026946495260867957,0.26785714285714285,0.03787878787878788,0.033479201957462824,0.08326351068286553,0.11044897437302502,0.02029512753433617,0.07015945330296128,0.5756612819974114,0.23685491723466406,0.1675736106115853,0.26841647206831476,0.09967839030223065,0.050551768906199286,0.2541354113424346
08031002300,0.15083586626139817,0.13631124170963757,0.0,0.21615087040618955,0.015910726132742782,0.0786889482298217,0.19109372252505716,0.26273583409962903,0.2416095979925767,0.1332127035627379,0.16802933393456826,0.2486874827300359,0.08268858800773694,0.31781716713701363,0.45819901139050073,0.2306576402321083,0.5866478900717806,0.45608112870787393,0.044913541432741975,0.05975474199613443,0.007429623208967597,0.17891087824951055,0.5867841569307659,0.41321584306923403,0.0,0.21826482866475805,0.2826549632400696,0.336764299530257,0.27807035442230477,0.5066672527987809,0.35154104811829145,0.8602078717421348,0.5619794531993872,0.3009798453681528,0.2346175380077909,0.38230337916772816,0.05286328035218614,0.581148912437256,0.616055657237719,0.6176966208322717,0.7095445137545321,0.14148186805126345,0.11784693779774993,0.08541927574599853,0.06448189278040951,0.46825053995680344,0.17062634989200864,0.6162589141206299,0.5753544555145266,0.03248307224029673,0.04770304706558727,0.049148418012663765,0.0,0.0867605633802817,0.2189344273851316,0.3882587560762807,0.21738312611827318,0.16574334898278562,0.35902413503503916
08031002402,0.2929983314080349,0.08280043564766082,0.30727762803234504,0.07277628032345014,0.13936742320663567,0.12099915972805746,0.17753001715265868,0.0,0.3614992350841408,0.29701765063907487,0.1268334628677261,0.14478244127839815,0.11994609164420485,0.3770226680217401,0.23250257171504096,0.22641509433962265,0.646715206477448,0.3463121866441697,0.040114613180515755,0.09071944947309107,0.056878129769970275,0.16571290205415876,0.4120403505898022,0.5879596494101978,0.06360580000147133,0.11178870772579853,0.35809775000853566,0.42367752088124927,0.20746258075652216,0.47052948518762705,0.3036820471255717,0.8838231825136669,0.5088373303087799,0.24573147908208803,0.058433240455923,0.39390994845391974,0.04401054560381199,0.5163974547234459,0.5593831220312575,0.6060900515460802,0.6984944717321906,0.144863674817377,0.12799696395341564,0.10630509506421583,0.0541831632558226,0.3138121546961326,0.18342541436464088,0.024128527221602067,0.6429001069328106,0.22256801174907334,0.10590842243332407,0.05701355416000704,0.19342114409991756,0.03794527620030976,0.03869176352397829,0.3896714044008693,0.31709769800843846,0.2603682670796765,0.2661172990248548
08031002404,0.6937527304499782,0.25419540110864897,0.0,0.23394495412844038,0.07906011316462053,0.0,0.0,0.0,0.0,0.5318018151326823,0.437233823005197,0.0,0.027522935779816515,0.0,0.29134719082864274,0.2981651376146789,0.6095135627389132,0.35626895790235175,0.06778309409888357,0.12892634782086446,0.052765729106112776,0.18196793734228872,0.6965602143109583,0.30343978568904173,0.006964781774601585,0.06351342807800964,0.39755618612876037,0.49755777502369325,0.6151058837506311,0.2845269920034479,0.3704717408737492,0.9544401238674657,0.4017518927325884,0.3341152411884999,0.10075167548082313,0.22728336152557918,0.022217900437875335,0.5221540558963872,0.7760016129496817,0.7727166384744208,0.83751457944677,0.0724404159241454,0.07400700881958144,0.07958462576334836,0.0,0.462111801242236,0.024844720496894408,0.22152785499833202,0.0,0.4570616138585319,0.3934313418830154,0.01972184099944821,0.08154323078125407,0.060838445807770966,0.0,0.205806001451802,0.1320483869893354,0.07583503749147921,0.31134619497968
08031002405,0.2935734062494626,0.27995739675070735,0.13976164680390032,0.11538461538461539,0.3895850016486881,0.06383426689066195,0.2947404707968088,0.03307106193275669,0.03988755819741735,0.12311711459825952,0.15490299038212288,0.39250889955115303,0.15113759479956662,0.2373585776956823,0.0948492889705382,0.15032502708559048,0.5907884118763095,0.45258336167505425,0.07873031742064483,0.11701572514821086,0.02480688239155164,0.12783189179231014,0.6965602143109583,0.30343978568904173,0.07780459319243052,0.11818236289827284,0.29559947339730736,0.37286219596688913,0.2961384469106089,0.5188680069785182,0.29164849985757224,0.8697767107047845,0.5394966729861344,0.09576874227952051,0.07061763398488653,0.24576847378779745,0.13695792814055832,0.6083998816918071,0.7296299536348526,0.7542315262122026,0.8240948684940003,0.12437432832795996,0.08632068035028606,0.06794887374116032,0.018007368054541575,0.08606105185730048,0.05663847002574476,0.11377264659321681,0.09372886734923892,0.05037453270701719,0.037549842435724096,0.11045331050123111,0.7150652565628421,0.06521739130434782,0.05911146283817092,0.4193135507377248,0.26271933500776035,0.1689095928226363,0.3435187666804577
08031002602,0.10745703072134254,0.1056466402531736,0.19001218026796587,0.034713763702801465,0.10019300134747891,0.24263389665017976,0.17091130550326653,0.1264112138335896,0.11531092602956183,0.19713370790931595,0.37474873526972197,0.38976857490864797,0.11266747868453106,0.22579421337433359,0.4249648419801467,0.12058465286236297,0.8042269820587411,0.16159930603827916,0.05789270551910459,0.109196785138127,0.05107543365423807,0.06984813810173533,0.22763209434834303,0.7723679056516569,0.025228998904657015,0.0586675887505763,0.05838221328417407,0.25747672806496336,0.14274018935420532,0.7461251634805354,0.43883468577984064,0.9447428750999163,0.7919458007854022,0.010731189027335072,0.069075409794412,0.04815666240953597,0.0764043667750316,0.7178981937602628,0.9692601586530678,0.9518433375904639,0.9658973193325533,0.07993194980042599,0.07092583349609022,0.0667888647038607,0.030900417783874787,0.043387349712493466,0.041296393099843176,0.06278083860194683,0.198572374078883,0.10810003065854105,0.20476896057644214,0.4405412195897391,0.4014170020831265,0.1872476446837147,0.15130406314793932,0.1766735350984806,0.05405171393373988,0.0,0.061473064338518256
